sex,length,head.l,head.w,neck.g,chest.g,weight
male,45,10,5,15,23,65
female,47.5,11,6.5,20,24,70
female,57,12,6,17,27,74
female,59.5,12.5,5,20.5,38,142
female,62,12,6,18,31,121
male,53,11,5.5,16,26,80
male,56,12,5.5,17,30.5,108
male,67.5,16.5,9,28,45,344
male,78,16.5,9,27,49,371
male,72,15.5,8,31,54,416
male,77,16,8,32,52,432
male,72,17,10,31.5,49,348
male,75,15.5,7.5,32,54.5,476
male,75,17.5,8,32,55,478
male,75,15,9,33,49,386
female,62,15.5,6.5,22,35,166
female,70,13,7,21,41,220
male,78,15,6.5,28,45,334
male,73.5,15,7.5,26.5,41,262
male,68.5,13.5,8,27,49,360
male,76,15.5,7,29.3,53,416
female,64,13.5,7,20,38,204
female,58,12.5,6,18,31,144
male,60.3,12,8.3,18.5,32,122
male,73,16,9,29,44,332
male,37,9,4.5,13,19,34
female,63,12.5,4.5,10.5,32,140
male,67,14,5,21.5,37,180
female,52,11.5,5,17.5,29,105
male,59,13,8,21.5,33,166
male,64,13.5,7,24,39,204
male,66,14.5,7.5,26.5,40,250
female,36,9,4.5,12,19,115
male,59,13,6,19,30,120
male,59,13,6,19,30,114
male,66.5,13.5,6.5,23,38,210
male,72,16,9.5,30,48,432
female,57.5,12.5,5,19,32,125
female,57,12.5,6,19,34,152
female,61,12.5,6.5,19.5,36,176
female,61,13,5,20,33,132
female,57,13.5,5,18.5,35,180
male,54,13,5,17,28,90
male,57.8,13,5.5,20.5,34.5,140
male,40,10,4,13,23,40
male,63,16,6,24,42,220
male,43,10,4,13.5,23,46
male,45,11,5,15,25,60
male,66.5,13.5,6,22,34,154
female,60.5,13,5.5,17.5,31,116
female,60,13,6.5,21,34.5,182
male,61,14.5,5.5,20,34,150
male,65,14,6.5,26,39,180
male,63,13,6,20,35,172
male,59.5,13.5,6,21,32.5,150
male,50.5,11,4,16,28,90
male,40,9.5,4.5,16,26,65
female,64,13.5,6.5,28,48,356
female,65,14.5,6.5,26,48,316
male,60.5,13.5,5.5,19,34,148
male,52.5,11.5,5.5,17.5,30,104
male,49,11,5,17,29,94
male,47,11.5,5,17,29.5,230
male,59,13,7,21,35,150
male,64,13.5,6,21,35,166
male,72,16.5,6.5,27,44.5,270
male,65,14,5.5,24,39,202
female,63,13.5,6.5,21.5,40,202
male,70.5,15.5,7,28,50,365
male,48,11.5,6,16.5,31,79
male,50.5,11.5,5,17,28,90
male,50,12,6.5,19,38,148
male,76.5,15.5,7,28,55,446
female,46,9,5,15,27,62
female,61.5,14.5,7,23,44,236
male,63.5,13.5,8.5,23,44,212
male,67.5,18.5,8.5,23.5,42,204
male,65,15,7,26,40,224
male,48,10,4,15.5,26,60
male,41,10,5,15,26,64
female,59,13,7,21,34,146
female,60,15.5,6,20.5,35,152
male,79,15.5,9,29,50,400
male,62,13.5,7,24.5,41,248
male,70.5,14.5,6.5,26,41,278
male,69,15,7,26.5,46.5,297
male,75,16,9,31.5,47,350
male,53,11.5,5,17,30.5,114
female,52.5,11.5,5,15,28,76
female,46,11,4.5,13,23,48
female,57,12,6,19,34.5,148
female,58,13.5,5,17,29,114
female,58,13.5,5,17,29.5,115
female,60,12.5,7.5,19,34,158
male,63,14,6.5,21,35,198
female,58.5,12,5,19,33.5,114
female,61,13,6,17.5,33,135
female,58,13.5,5,17,29,130
male,60,12.5,6.5,18,30,130
male,64,13.5,6.5,22,36,190
